시설년도,위치코드,시설구분1,쉼터명칭,도로명주소,경도,위도,X좌표(EPSG:5186),Y좌표(EPSG:5186)
2025,1126061000,특정계층이용시설,봉화경로당,서울특별시 중랑구 봉화산로3길 40-5,127.0760238,37.6035243,206713.1469,555996.7974
2025,1126061000,공공시설,중화2동주민센터,서울특별시 중랑구 봉화산로 27 (중화2동 복합청사),127.077253,37.602464,206821.7861,555879.2043
2025,1126061000,특정계층이용시설,학구경로당,서울특별시 중랑구 동일로123길 69-5,127.0761238,37.5983096,206722.4464,555418.0304
2025,1126061000,특정계층이용시설,백학경로당,서울특별시 중랑구 중랑천로20길 6-14,127.0727723,37.5957535,206426.6973,555134.097
2025,1126062000,특정계층이용시설,이편한세상화랑대경로당,서울특별시 중랑구 숙선옹주로 45 (이편한세상 화랑대 근린생활시설동),127.082972,37.616373,207325.4352,557423.383
2025,1121581000,공공시설,광나루역스마트휴쉼터,,127.103253,37.544225,209124.8062,549417.5538
2025,1121581000,특정계층이용시설,광장제1경로당,서울특별시 광진구 아차산로73길 15,127.104005,37.545883,209191.0593,549601.6451
2025,1121581000,특정계층이용시설,광장제2경로당,서울특별시 광진구 아차산로78길 67,127.110602,37.551709,209773.2844,550248.9266
2025,1121581000,공공시설,광장동주민센터,서울특별시 광진구  광장로  52   (광장동),127.1029332,37.5469114,209096.218,549715.6809
2025,1121581000,특정계층이용시설,광진구노인회관,서울특별시 광진구 광장로 62,127.104024,37.547154,209192.5823,549742.7126
2025,1121581000,공공시설,광장종합사회복지관,서울특별시 광진구 아차산로66길 8,127.097127,37.541028,208583.7978,549062.1487
2025,1121581000,공공시설,광진구민체육센터,서울특별시 광진구 구천면로 14 (광장동),127.1066853,37.5460851,209427.8956,549624.3411
2025,1121581000,공공시설,광진정보도서관,서울특별시 광진구 아차산로78길 90,127.1106108,37.5509702,209774.1585,550166.9295
2025,1121583000,공공시설,잠실대교북단스마트휴쉼터,,127.085046,37.532606,207516.9598,548126.3755
2025,1121582000,공공시설,자양사거리스마트휴쉼터,,127.082383,37.537009,207281.1571,548614.8449
2025,1121582000,공공시설,옛구청스마트휴쉼터,서울특별시 광진구 자양로 117,127.083128,37.538538,207346.8516,548784.6032
2025,1121582000,특정계층이용시설,래미안시니어클럽경로당,"서울특별시 광진구 아차산로 345  (자양동, 래미안프리미어팰리스)",127.081351,37.5379914,207189.8528,548723.7999
2025,1121582000,특정계층이용시설,자양1동경로당,서울특별시 광진구 아차산로40길 46 (자양동),127.0778435,37.5356682,206880.0711,548465.6908
2025,1121582000,특정계층이용시설,중앙경로당,서울특별시 광진구 뚝섬로47길 33,127.078713,37.533918,206957.0831,548271.504
2025,1121582000,특정계층이용시설,자마장경로당,서울특별시 광진구 자양로13길 37  (자양동),127.0824159,37.5345191,207284.3071,548338.4991
2025,1121582000,특정계층이용시설,청아경로당,서울특별시 광진구 자양로19길 70,127.079727,37.538464,207046.2781,548776.1298
2025,1121582000,공공시설,자양1동주민센터,서울특별시 광진구  자양로13길  37   (자양동),127.082384,37.534445,207281.4948,548330.2725
2025,1121583000,특정계층이용시설,자양2현대3차아파트경로당,서울특별시 광진구 뚝섬로56가길 10 (자양현대3차아파트경비실),127.083447,37.52858,207376.0254,547679.4127
2025,1111058000,특정계층이용시설,행촌경로당,서울특별시 종로구 인왕산로1길 58 (행촌동),126.9630088,37.5753864,196732.3279,552871.7334
2025,1111060000,생활밀착민간시설,우리은행안국역지점,서울특별시 종로구 율곡로 57 (우리은행),126.985535,37.576914,198722.2391,553040.7345
2025,1111060000,특정계층이용시설,원서경로당,서울특별시 종로구 창덕궁길 94 (원서노인정),126.989396,37.58163,199063.3583,553564.1109
2025,1111060000,특정계층이용시설,가회경로당,서울특별시 종로구 북촌로 35 (가회동),126.9847736,37.5801246,198655.0388,553397.0849
2025,1111060000,특정계층이용시설,계원경로당,서울특별시 종로구 창덕궁3가길 8 (원서동),126.9885166,37.5811279,198985.6749,553508.3927
2025,1111060000,공공시설,가회동주민센터,서울특별시 종로구 북촌로 35 (가회동),126.9848044,37.5800566,198657.7582,553389.5372
2025,1111060000,특정계층이용시설,북촌경로당,서울특별시 종로구 북촌로 20-27,126.9858728,37.5789115,198752.1118,553262.4295
2025,1111061500,생활밀착민간시설,우리은행종로구청지점,서울특별시 종로구 종로1길 36 (종로구청),126.97914,37.573492,198157.2545,552661.0382
2025,1111061500,생활밀착민간시설,우리은행종로YMCA지점,서울특별시 종로구 종로 69 (서울YMCA),126.985289,37.570606,198700.3991,552340.6229
2025,1111061500,생활밀착민간시설,우리은행종로4가금융센터,서울특별시 종로구 종로 186 (우리은행),126.998491,37.570414,199866.6914,552319.2125
2025,1111061500,생활밀착민간시설,종로광장새마을금고본점,서울특별시 종로구 창경궁로12길 50 (대원),127.00076,37.569841,200067.1407,552255.6153
2025,1111061500,생활밀착민간시설,종로34가새마을금고본점,서울특별시 종로구 종로 140-1,126.99321,37.570163,199400.1535,552291.375
2025,1111061500,생활밀착민간시설,인사동길새마을금고본점,서울특별시 종로구 인사동길 22-2,126.986603,37.572783,198816.5151,552582.2273
2025,1100000000,특정계층이용시설,휴서울이동노동자종각역쉼터,서울특별시 종로구 종로 지하 55 (종각지하철역사),126.981416,37.570233,198358.2419,552299.2848
2025,1111061500,공공시설,돈의동쪽방상담소여성쉼터,서울특별시 종로구 돈화문로9가길 10,126.990878,37.571878,199194.1569,552481.7375
2025,1111061500,공공시설,돈의동쪽방상담소남성쉼터,서울특별시 종로구 돈화문로9가길 20-2 (새뜰집),126.991153,37.572157,199218.4535,552512.7009
2025,1111061500,공공시설,우리소리도서관,서울특별시 종로구 삼일대로30길 47 (종로1.2.3.4가동주민센터),126.990231,37.574482,199137.0306,552770.7571
2025,1111061500,공공시설,구청사,서울특별시 종로구 종로1길 36 (수송동),126.9789867,37.573505,198143.7125,552662.4841
